,name,description
0,Women's Campside Oxfords,"This ultracomfortable lace-to-toe Oxford boasts a super-soft canvas, thick cushioning, and quality construction for a broken-in feel from the first time you put them on. 

Size & Fit: Order regular shoe size. For half sizes not offered, order up to next whole size. 

Specs: Approx. weight: 1 lb.1 oz. per pair. 

Construction: Soft canvas material for a broken-in feel and look. Comfortable EVA innersole with Cleansport NXT® antimicrobial odor control. Vintage hunt, fish and camping motif on innersole. Moderate arch contour of innersole. EVA foam midsole for cushioning and support. Chain-tread-inspired molded rubber outsole with modified chain-tread pattern. Imported. 

Questions? Please contact us for any inquiries."
1,"Recycled Waterhog Dog Mat, Chevron Weave","Protect your floors from spills and splashing with our ultradurable recycled Waterhog dog mat made right here in the USA. 

Specs
Small - Dimensions: 18"" x 28"". 
Medium - Dimensions: 22.5"" x 34.5"".

Why We Love It
Mother nature, wet shoes and muddy paws have met their match with our Recycled Waterhog mats. Ruggedly constructed from recycled plastic materials, these ultratough mats help keep dirt and water off your floors and plastic out of landfills, trails and oceans. Now, that's a win-win for everyone.

Fabric & Care
Vacuum or hose clean.

Construction
24 oz. polyester fabric made from 94% recycled materials.
Rubber backing.

Additional Features
Features an -exclusive design.
Features thick and thin fibers for scraping dirt and absorbing water.
Dries quickly and resists fading, rotting, mildew and shedding.
Use indoors or out.
Made in the USA.

Have questions? Reach out to our customer service team with any questions you may have."
2,"Infant and Toddler Girls' Coastal Chill Swimsuit, Two-Piece","She'll love the bright colors, ruffles and exclusive whimsical prints of this toddler's two-piece swimsuit! Our four-way-stretch and chlorine-resistant fabric keeps its shape and resists snags. The UPF 50+ rated fabric provides the highest rated sun protection possible, blocking 98% of the sun's harmful rays. The crossover no-slip straps and fully lined bottom ensure a secure fit and maximum coverage. Machine wash and line dry for best results. Imported."
3,"Refresh Swimwear, V-Neck Tankini Contrasts","Whether you're going for a swim or heading out on an SUP, this watersport-ready tankini top is designed to move with you and stay comfortable. All while looking great in an eye-catching colorblock style. 

Size & Fit
Fitted: Sits close to the body.

Why We Love It
Not only does this swimtop feel good to wear, its fabric is good for the earth too. In recycled nylon, with Lycra® spandex for the perfect amount of stretch. 

Fabric & Care
The premium Italian-blend is breathable, quick drying and abrasion resistant. 
Body in 82% recycled nylon with 18% Lycra® spandex. 
Lined in 90% recycled nylon with 10% Lycra® spandex. 
UPF 50+ rated – the highest rated sun protection possible. 
Handwash, line dry.

Additional Features
Lightweight racerback straps are easy to get on and off, and won't get in your way. 
Flattering V-neck silhouette. 
Imported.

Sun Protection That Won't Wear Off
Our high-performance fabric provides SPF"
4,EcoFlex 3L Storm Pants,"Our new TEK O2 technology makes our four-season waterproof pants even more breathable. It's guaranteed to keep you dry and comfortable – whatever the activity and whatever the weather. Size & Fit: Slightly Fitted through hip and thigh. 

Why We Love It: Our state-of-the-art TEK O2 technology offers the most breathability we've ever tested. Great as ski pants, they're ideal for a variety of outdoor activities year-round. Plus, they're loaded with features outdoor enthusiasts appreciate, including weather-blocking gaiters and handy side zips. Air In. Water Out. See how our air-permeable TEK O2 technology keeps you dry and comfortable. 

Fabric & Care: 100% nylon, exclusive of trim. Machine wash and dry. 

Additional Features: Three-layer shell delivers waterproof protection. Brand new TEK O2 technology provides enhanced breathability. Interior gaiters keep out rain and snow. Full side zips for easy on/off over boots. Two zippered hand pockets. Thigh pocket. Imported.

 – Official Supplier to the U.S. Ski Team
THEIR WILL"
5,"Smooth Comfort Check Shirt, Slightly Fitted","Our men's slightly fitted check shirt is the perfect choice for your wardrobe! Customers love how it fits right out of the dryer. Size & Fit: Slightly Fitted, Relaxed through the chest and sleeve with a slightly slimmer waist. Fabric & Care: 100% cotton poplin, with wrinkle-free performance that won't wash out. Our innovative TrueCool® fabric wicks moisture away from your skin and helps it dry quickly. Additional Features: Traditional styling with a button-down collar and a single patch pocket. Imported."
6,Mens Outdoor Research Apex Gloves,"These Outdoor Research Arete gloves are perfect for your backcountry adventures. They feature a tough Taslan nylon shell and removable Gore-Tex® nylon fleece liner that is quick-drying and provides complete protection and warmth. The stretchy nylon Lycra elastane soft-shell fabric on the back of the hands allows for freedom of movement, while the ergonomic design lets your hands move naturally for maximum comfort. The gauntlet closure seals out snow and cold wind, and a special pocket allows for a heat pack to be inserted to help keep your hands warm. Both the shell and 100-weight-fleece liner can be worn alone or together for maximum warmth. Imported. These gloves also offer serious waterproof protection from the elements, and are highly breathable to allow moisture vapor to escape. Get the durability you expect from Gore-Tex fabrics."
7,"Women's Ultraplush Sweats, Relaxed Crewneck","This crewneck sweatshirt is crafted from soft french terry, making it feel great after a long day. It also looks so good it could be worn around town. Our most generous fit sits farthest from the body and falls at the hip. It's made of 95% cotton and 5% spandex and is a substantial midweight french terry fabric, smooth on the outside and softly looped on the inside. It's designed with shaping for a flattering, feminine fit and features raglan sleeves, a straight hem with side slits, and a curved hem that's slightly longer in the back. Machine wash and dry. Imported."
8,Mountain Man Fleece Jacket,"Our best-value fleece jacket is designed with inspiration from our archives and made from 100% recycled polyester for unbeatable comfort and wear-anywhere style. 

Size & Fit: Slightly Fitted. Best with lightweight layer. Falls at hip. 

Why We Love It: Our designers took inspiration from the  archives to create this ultrasoft fleece jacket. We love how the heritage styling is updated with a modern, slimming fit. Plus, it’s made from 100% recycled fleece – so you can stay warm and feel good about it. 

Fabric & Care: 100% recycled fleece is soft, cozy and gentle on the planet. Ultraplush fibers resist wind for even more warmth. Machine wash and dry. 

Additional Features: Features our classic Mount Katahdin logo. Bart Boot lace-inspired zippers and drawcord. Two lower zippered hand pockets. Elastic cuffs and drawcord hem seal out cold air. Imported."
9,"Compact Camping Table, 25""","This aluminum portable camp table is perfect for car camping trips, picnics and tailgates. It features a one-piece design with telescoping legs that folds down into a small package. The table is made from lightweight yet durable aluminum and can hold up to 60 lb. The open dimensions are 25""H x 25""W x 27.5""D and the folded dimensions are 25""H x 24""W x 2""D, and the weight is 5 lb. 10 oz. This table can accommodate dinner for up to four people or can be used as a side table."
